Short Item No,Business Unit,"Location ",Lot Serial Number,Primary Location,Lot Stat Code,Quantity On Hand,Quantity Backordered,Quantity On P.O.,Quantity On WO/RC,Quantity On other 1,Quantity On Other 2,Quantity on Other PO,Quantity Hard Committed,Qty Soft Committed,Quantity On Future,WO Soft Commit,Qty Hard Committed WO,Quantity In Transit,Quantity In Inspection,Quantity In Operation 1,Quantity In Operation 2,Last Rcpt Date,Secondary Quantity Hard Committed,Secondary Quantity Soft Committed,Secondary Quantity On Hand,Secondary Quantity On WO/RC,Secondary Quantity On Purchase Order,Secondary WO Hard Committed,Secondary WO Soft Commit,Quantity on Project Hard Commit,Quantity on Project Hard Commit,Unique Configuration ID
901,"         901",FGOF,724849,S,,60,,,,,,,,,,,,,,,,11/04/2022,,,,,,,,,,
901,"         901",FGOF,742022,S,,60,,,,,,,,,,,,,,,,12/02/2022,,,,,,,,,,
901,"         901",FP011,705539,S,,22,,,,,,,,,,,,,,,,12/15/2022,,,,,,,,,,
901,"         901",SERVICE,724582,S,,22,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
1078,"         901",FGOF,046895,S,,60,,,,,,,,,,,,,,,,07/20/2022,,,,,,,,,,
1078,"         901",SERVICE,58995,S,,38,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
1090,"         901",F0GG01,736406,S,,60,,,,,,,,,,,,,,,,11/22/2022,,,,,,,,,,
1090,"         901",F0GG01,736447,S,,60,,,,,,,,,,,,,,,,11/23/2022,,,,,,,,,,
1090,"         901",FGOF,736381,S,,30,,,,,,,,,,,,,,,,12/09/2022,,,,,,,,,,
1090,"         901",PP018,736381,S,,29,,,,,,,,,,,,,,,,12/09/2022,,,,,,,,,,
1200,"         901",C5H03,190306A00183,S,,216,,,,,,,,,,,,,,,,08/05/2019,,,,,,,,,,
1212,"         901",SERVICE,352382A,S,,2,,,,,,,,,,,,,,,,12/12/2022,,,,,,,,,,
1212,"         901",SERVICE,736228,S,,27,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
1213,"         901",F0BB05,751179,S,,60,,,,,,,,,,,,,,,,12/16/2022,,,,,,,,,,
1213,"         901",F0EE05,741830,S,,60,,,,,,,,,,,,,,,,12/02/2022,,,,,,,,,,
1213,"         901",F0EE05,741869,S,,60,,,,,,,,,,,,,,,,12/02/2022,,,,,,,,,,
1213,"         901",SERVICE,723101,S,,3,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
1213,"         901",SERVICE,745454,S,,20,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
1214,"         901",F0AA05,749219,S,,60,,,,,,,,,,,,,,,,12/13/2022,,,,,,,,,,
1214,"         901",F0AA05,750018,S,,60,,,,,,,,,,,,,,,,12/14/2022,,,,,,,,,,
1214,"         901",SERVICE,749632,S,,22,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
1215,"         901",SERVICE,36242,S,,7,,,,,,,,,,,3,,,,,08/14/2022,,,,,,,,,,
1217,"         901",F00C05,739442,S,,60,,,,,,,,,,,,,,,,11/30/2022,,,,,,,,,,
1217,"         901",F00C05,739512,S,,60,,,,,,,,,,,,,,,,11/30/2022,,,,,,,,,,
1217,"         901",F00C05,739540,S,,60,,,,,,,,,,,,,,,,11/30/2022,,,,,,,,,,
1217,"         901",F00C05,739597,S,,60,,,,,,,,,,,,,,,,11/30/2022,,,,,,,,,,
1217,"         901",F00C05,739621,S,,60,,,,,,,,,,,,,,,,11/30/2022,,,,,,,,,,
1217,"         901",F00C05,739680,S,,60,,,,,,,,,,,,,,,,11/30/2022,,,,,,,,,,
1217,"         901",F00C05,739717,S,,60,,,,,,,,,,,,,,,,11/30/2022,,,,,,,,,,
