Short Item No,Xref Type,Address Number,Customer/Supplier Item Number,Expired Date,Effective Date,Business Unit,"Description ",Description Line 2,Search Text Compressed,2nd Item Number,3rd Item Number,User Code,User Date,User Amount,User Number,User Reference,User ID,Program ID,Work Stn ID,Date Updated,Time of Day,Adjustment Indicator,Base Price Indicator,Customer/Supplier Item Revision Level,Substitute Ratio,Substitute Priority,"APS Substitute ",Transfer Demand,Card Number
901,C,1024,44305TVC A520M1,12/31/2040,03/15/2017,,Parent Item Honda Accord,BJ109LBG13,44305TVCA520M1,BJ109LBG13,BJ109LBG13,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1078,C,1024,44306TVA A910M1,12/31/2040,02/01/2017,,Parent Item Honda Accord,BJ104LBG68,44306TVAA910M1,BJ104LBG68,BJ104LBG68,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1090,C,1024,44305TVA D510M1,12/31/2040,06/28/2017,,Parent Item Honda Accord,BJ95LBC65,44305TVAD510M1,BJ95LBC65,BJ95LBC65,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1103,C,1023,1027161-00-B,12/31/2040,10/30/2016,,Parent Item Tesla Model S/X,,1027161-00-B,EBJ100MBP326A,EBJ100MBP326A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1133,C,1023,1007719-01-B,12/31/2040,10/30/2016,,Parent Item Tesla Model S/X,,1007719-01-B,EBJ100MBP298A,EBJ100MBP298A,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1212,C,1024,44306TVA D510M1,12/31/2040,06/28/2017,,Parent Item Honda Accord,BJ95LBC66,44306TVAD510M1,BJ95LBC66,BJ95LBC66,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1213,C,1024,44305TVA A510M1,12/31/2040,02/01/2017,,Parent Item Honda Accord,BJ95LBC67,44305TVAA510M1,BJ95LBC67,BJ95LBC67,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1214,C,1024,44306TVA A510M1,12/31/2040,02/01/2017,,Parent Item Honda Accord,BJ95LBC68,44306TVAA510M1,BJ95LBC68,BJ95LBC68,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1215,C,1024,44305TVA A910M1,12/31/2040,02/01/2017,,Parent Item Honda Accord,BJ104LBG67,44305TVAA910M1,BJ104LBG67,BJ104LBG67,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1217,C,1024,44306TWA A010M1,12/31/2040,04/20/2017,,Parent Item Honda Accord,BJ104LBG70,44306TWAA010M1,BJ104LBG70,BJ104LBG70,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1266,C,1024,44306TWA D010M1,12/31/2040,06/08/2017,,Parent item Honda Accord,BJ104LBG72,44306TWAD010M1,BJ104LBG72,BJ104LBG72,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1344,C,1024,44306TVC A520M1,12/31/2040,03/15/2017,,Parent Item Honda Accord,BJ109LBG14,44306TVCA520M1,BJ109LBG14,BJ109LBG14,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
1345,C,1024,44305TVC D520M1,12/31/2040,06/29/2017,,Parent Item Honda Accord,BJ109LBG15,44305TVCD520M1,BJ109LBG15,BJ109LBG15,,,,,,LALMEIDA,EP4104,OMCSCABLEX,07/16/2020,105101,,,,,,Y,,
